,0
0,Darchula
1,Baitadi
2,Dadeldhura
3,Kanchanpur
4,Bajhang
5,Doti
6,Kailali
7,Bajura
8,Accham
9,Surkhet
10,Bardiya
11,Mugu
12,Kalikot
13,Dailekh
14,Jajarkot
15,Salyan
16,Banke
17,Dolpa
18,Rukum
19,Rolpa
20,Dang
21,Mustang
22,Myagdi
23,Baglung
24,Pyuthan
25,Gulmi
26,Arghakhanchi
27,Kapilvastu
28,Manang
29,Kaski
30,Parbat
31,Syanjga
32,Palpa
33,Rupandehi
34,Gorkha
35,Lamjung
36,Tanahu
37,Nawalparasi
38,Dhading
39,Chitwan
40,Rasuwa
41,Nuwakot
42,Makwanpur
43,Parsa
44,Sindulpalchok
45,Kavre
46,Bara
47,Rautahat
48,Kathmandu
49,Bhaktapur
50,Lalitpur
51,Dolakha
52,Ramechhap
53,Sindhuli
54,Sarlahi
55,Mohattari
56,Dhanusa
57,Solukhumbu
58,Okhaldhunga
59,Khotang
60,Udaypur
61,Siraha
62,Saptari
63,Sankhuwasabha
64,Bhojpur
65,Dhankuta
66,Sunsari
67,Morang
68,Taplejung
69,Tehrathum
70,Paanchthar
71,Ilam
72,Jhapa
